コード,銘柄名,市場,現在値,前日比(%)
1301,極洋,東P,"5,230","-180.0 (-3.33%) "
1305,ｉＦＴＯＰＩＸ（年１回決算型）,東ETF,"4,009","-136.0 (-3.28%) "
1306,ＮＦ　ＴＯＰＩＸ連動型上場投信,東ETF,"3,959","-135.0 (-3.30%) "
1308,上場インデックスファンドＴＯＰ,東ETF,"3,918","-126.0 (-3.12%) "
1309,上海株指数・上証５０連動型上場,東ETF,"55,070","-40.0 (-0.07%) "
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ,東G,"477","-12.0 (-2.45%) "
1311,ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０,東ETF,"1,925","-35.0 (-1.79%) "
1319,ＮＦ日経３００株価指数連動型,東ETF,"702.1","-32.2 (-4.39%) "
131A,ＣＣＮグループ,東PRO,"--","-- (--%) "
1320,ｉＦ日経２２５（年１回決算型）,東ETF,"58,250","-1,850.0 (-3.08%) "
1321,ＮＦ日経２２５連動型上場投信,東ETF,"58,450","-1,840.0 (-3.05%) "
1322,中国Ａ株パンダＣＳＩ３００,東ETF,"11,400","-40.0 (-0.35%) "
1325,ＮＦボベスパ連動型上場投信,東ETF,"318","+1.0 (+0.32%) "
1326,ＳＰＤＲゴールド・シェア,東ETF,"76,920","-700.0 (-0.90%) "
1328,ＮＦ金価格連動型上場投資信託,東ETF,"19,845","-195.0 (-0.97%) "
1329,ｉＳコア　日経２２５,東ETF,"5,822","-174.0 (-2.90%) "
132A,アイエヌＨＬＤＧ,東PRO,"--","-- (--%) "
1330,上場インデックスファンド２２５,東ETF,"58,590","-1,790.0 (-2.96%) "
1332,ニッスイ,東P,"1,486.5","-73.5 (-4.71%) "
1333,Ｕｍｉｏｓ,東P,"1,525","-54.5 (-3.45%) "
133A,グローバルＸ　超短期米国債,東ETF,"1,067","+4.0 (+0.38%) "
1343,ＮＦ東証ＲＥＩＴ連動型投信,東ETF,"2,140","-33.5 (-1.54%) "
1345,上場Ｊリート隔月分配型,東ETF,"2,030.5","-30.5 (-1.48%) "
1346,ＭＡＸＩＳ　日経２２５上場投信,東ETF,"58,180","-1,700.0 (-2.84%) "
1348,ＭＡＸＩＳ　トピックス上場投信,東ETF,"3,917","-125.0 (-3.09%) "
1349,ＡＢＦ汎アジア債券,東ETF,"17,985","-5.0 (-0.03%) "
134A,アプライズ,東PRO,"--","-- (--%) "
1356,ＴＯＰＩＸベア２倍上場投信,東ETF,"137.2","+8.5 (+6.60%) "
1357,ＮＦ日経平均ダブルインバース,東ETF,"4,533","+262.0 (+6.13%) "
1358,上場日経レバレッジ指数,東ETF,"101,000","-6,350.0 (-5.92%) "
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東G,"2,300","-150.0 (-6.12%) "
